STU_ID,SCH_ID,X3TGPA9TH,X1TXMTH,X1PAREDU,X1FAMINCOME,X1POVERTY,X1POVERTY130,X1PAR1EMP,X1SEX,X1RACE,X1STDOB,C1GETAHEAD,X3TCREDADV,X3TCREDHON,X5DUALCRSFLG,A1G9STUDY,X3TGPAACAD,X3TGPA12TH,X5GPAALL,X3TXSATCOMP
31965,-5,3.5,0.4663,2,4,0,0,4,1,8,199502,-5,0.0,0.0,2,0,3.0,3.5,3.6,-5
31966,-5,1.5,-0.4163,2,4,0,0,3,1,8,199409,-5,0.5,0.0,-8,1,2.0,3.0,-8.0,-5
31967,-5,1.5,-0.138,2,2,0,0,4,1,2,199503,-5,1.0,1.0,3,0,1.5,1.5,2.0,-5
31968,-5,3.5,0.0968,2,3,0,0,3,2,8,199412,-5,0.5,0.0,3,1,3.5,3.5,2.3,-5
31969,-5,0.5,-2.1026,1,1,1,1,3,1,5,199509,-5,1.0,0.0,-6,0,1.0,-1.0,-6.0,-5
31970,-5,3.5,0.905,4,3,0,0,2,2,1,199412,-5,5.0,2.0,-8,1,3.0,3.0,-8.0,-5
31971,-5,1.5,0.0462,3,2,1,1,2,2,5,199501,-5,0.0,0.0,-6,-9,1.5,-1.0,-6.0,-5
31972,-5,1.5,-0.2951,4,6,0,0,4,2,8,199507,-5,0.0,0.0,-6,1,1.5,2.0,-6.0,-5
31973,-5,-8.0,1.5371,4,6,0,0,4,1,3,199504,-5,-8.0,-8.0,2,1,-8.0,-8.0,3.4,-5
31974,-5,4.0,0.6013,-8,-8,-8,-8,-8,2,8,199507,-5,0.5,0.0,2,1,4.0,4.0,3.9,-5
31975,-5,3.0,-8.0,-8,-8,-8,-8,-8,2,-9,199500,-5,4.0,6.0,-8,0,3.5,4.0,-8.0,-5
31976,-5,1.5,0.6962,2,1,1,1,4,1,6,199412,-5,0.0,0.0,3,0,2.0,2.5,2.0,-5
31977,-5,3.0,-0.4428,-8,-8,-8,-8,-8,1,8,199407,-5,3.0,1.0,3,-9,2.5,1.5,1.9,-5
31978,-5,3.5,0.4157,7,11,0,0,1,2,2,199502,-5,3.0,0.0,2,0,2.5,1.5,2.2,-5
31979,-5,-8.0,-0.0492,2,3,0,0,2,1,8,199312,-5,-8.0,-8.0,2,-8,-8.0,-8.0,1.9,-5
31981,-5,2.5,0.8715,4,6,0,0,4,2,8,199410,-5,3.5,0.0,2,-9,3.0,3.0,3.3,-5
31982,-5,1.5,0.0468,2,3,0,0,4,2,8,199501,-5,0.0,1.0,3,0,1.5,2.5,2.7,-5
31983,-5,3.5,0.1011,2,4,0,0,2,2,8,199506,-5,17.0,2.0,-8,0,3.0,3.5,-8.0,-5
31984,-5,3.0,-0.0539,7,10,0,0,2,1,8,199501,-5,3.0,7.0,-6,1,2.5,3.5,-6.0,-5
31985,-5,3.0,0.1789,2,8,0,0,2,1,8,199505,-5,0.0,0.0,3,-8,2.5,2.5,1.5,-5
31986,-5,1.5,-0.2411,3,3,0,0,4,1,8,199504,-5,0.0,0.0,-8,1,1.0,2.0,-8.0,-5
31988,-5,2.5,0.2119,-8,-8,-8,-8,-8,2,5,199505,-5,1.0,0.0,-6,1,2.0,3.0,-6.0,-5
31989,-5,4.0,1.8427,5,4,0,0,4,1,8,199505,-5,0.0,14.5,3,1,4.0,4.0,3.5,-5
31990,-5,4.0,1.0708,2,3,0,0,4,2,8,199501,-5,5.0,0.0,3,0,4.0,3.5,2.5,-5
31991,-5,3.5,1.8527,4,3,0,0,4,1,2,199505,-5,7.0,7.5,3,1,3.0,3.0,2.0,-5
31992,-5,-8.0,-8.0,-8,-8,-8,-8,-8,1,-9,199500,-5,-8.0,-8.0,-6,1,-8.0,-8.0,-6.0,-5
31994,-5,4.0,1.3019,4,3,0,0,4,2,8,199410,-5,2.5,5.0,3,-8,3.5,3.5,2.0,-5
31995,-5,3.0,-0.2387,4,7,0,0,2,1,8,199505,-5,0.0,0.0,-6,-9,2.5,2.0,-6.0,-5
31997,-5,2.0,-1.3631,-8,-8,-8,-8,-8,2,8,199504,-5,0.0,0.0,-6,1,2.0,-1.0,-6.0,-5
31999,-5,2.5,-1.525,4,6,0,0,4,1,8,199506,-5,6.5,0.0,2,1,2.5,3.5,3.4,-5
32000,-5,2.0,0.5391,1,1,1,1,2,2,3,199507,-5,0.0,0.0,3,1,2.0,3.5,1.2,-5
32001,-5,2.5,0.5315,3,3,0,0,2,1,8,199504,-5,1.0,0.0,-6,1,2.0,4.0,-6.0,-5
32002,-5,2.5,-1.1188,7,10,0,0,4,1,6,199401,-5,0.5,1.0,3,0,2.5,2.5,3.5,-5
32003,-5,0.5,-2.2145,-8,-8,-8,-8,-8,2,5,199503,-5,0.0,0.0,-6,0,1.0,-1.0,-6.0,-5
32004,-5,0.25,-1.3407,4,6,0,0,4,1,5,199404,-5,0.0,0.0,-6,-9,0.5,-1.0,-6.0,-5
32005,-5,3.0,-2.253,2,3,0,0,2,1,1,199503,-5,0.0,0.0,3,0,3.5,3.0,-7.0,-5
32006,-5,4.0,-8.0,-8,-8,-8,-8,-8,1,-9,199400,-5,7.0,10.0,3,0,4.0,4.0,4.0,-5
32007,-5,4.0,0.0984,4,4,0,0,2,2,8,199512,-5,1.0,3.0,3,0,4.0,4.0,4.0,-5
32008,-5,2.5,-0.1969,3,2,1,1,4,2,8,199508,-5,1.0,0.0,-6,1,2.5,3.0,-6.0,-5
32009,-5,3.5,-0.4382,-8,-8,-8,-8,-8,2,6,199408,-5,3.5,0.0,3,-9,3.5,3.5,3.2,-5
32010,-5,1.0,-0.2595,-8,-8,-8,-8,-8,2,6,199412,-5,2.0,0.0,3,1,1.5,1.5,2.4,-5
32011,-5,-8.0,-0.1545,2,2,0,1,2,2,8,199412,-5,-8.0,-8.0,3,0,-8.0,-8.0,2.4,-5
32012,-5,-8.0,2.5812,4,5,0,0,3,2,8,199509,-5,-8.0,-8.0,-8,0,-8.0,-8.0,-8.0,-5
32013,-5,3.5,0.5198,4,4,0,0,4,1,2,199504,-5,1.0,0.0,3,1,3.0,3.0,2.9,-5
32014,-5,1.5,-1.4039,-8,-8,-8,-8,-8,2,8,199405,-5,0.0,0.0,-6,1,1.0,-1.0,-6.0,-5
32015,-5,3.0,-0.196,5,7,0,0,4,1,6,199508,-5,12.0,0.0,3,1,2.5,2.0,0.9,-5
32016,-5,3.0,-8.0,1,2,1,1,1,1,5,199500,-5,1.0,0.0,-8,0,3.0,2.5,-8.0,-5
32017,-5,3.5,-0.4205,4,1,1,1,3,2,5,199409,-5,3.0,0.5,3,1,3.0,3.0,2.9,-5
32019,-5,3.0,-0.3512,1,3,0,0,2,2,5,199505,-5,0.0,0.0,-8,0,3.0,3.5,-8.0,-5
32020,-5,3.5,1.6725,2,1,1,1,3,2,8,199505,-5,4.5,7.0,-8,1,3.5,3.5,-8.0,-5
32021,-5,1.0,-0.1637,3,3,0,0,4,1,8,199306,-5,0.5,0.5,-6,1,0.5,1.0,-6.0,-5
32022,-5,1.0,-8.0,-8,-8,-8,-8,-8,2,-9,199500,-5,0.0,3.0,2,1,1.5,1.5,1.2,-5
32023,-5,3.0,-0.1439,-8,-8,-8,-8,-8,2,8,199503,-5,5.5,3.0,3,0,3.0,3.0,2.3,-5
32024,-5,1.5,-0.0261,-8,-8,-8,-8,-8,1,8,199312,-5,0.5,0.0,-8,-9,1.5,-9.0,-8.0,-5
32025,-5,2.0,-1.397,3,2,0,0,4,1,3,199409,-5,1.5,0.0,3,0,1.5,-1.0,1.9,-5
32026,-5,2.5,0.5179,5,4,0,0,4,1,8,199405,-5,0.0,2.0,-8,0,2.0,2.0,-8.0,-5
32027,-5,2.5,0.4562,5,7,0,0,4,1,8,199409,-5,0.0,5.0,-8,1,2.5,2.5,-8.0,-5
32028,-5,1.5,-0.9669,-8,-8,-8,-8,-8,1,3,199412,-5,0.0,0.0,-8,-8,1.5,-1.0,-8.0,-5
32029,-5,1.0,-8.0,-8,-8,-8,-8,-8,2,4,199500,-5,0.0,0.0,-6,0,2.0,3.5,-6.0,-5
32030,-5,3.0,-0.2433,5,5,0,0,4,1,5,199408,-5,0.5,0.0,2,1,2.0,3.0,1.4,-5
32031,-5,1.5,-0.4689,-8,-8,-8,-8,-8,1,8,199502,-5,6.0,0.0,3,0,2.0,2.5,2.3,-5
32032,-5,2.0,-0.208,-8,-8,-8,-8,-8,2,3,199312,-5,0.0,0.0,-6,1,1.0,2.0,-6.0,-5
32033,-5,2.5,-0.1357,4,3,0,0,2,1,8,199407,-5,0.5,0.0,3,0,2.5,3.0,2.0,-5
32034,-5,1.0,-1.0039,2,2,1,1,2,1,3,199510,-5,0.0,0.0,2,0,1.0,2.0,2.1,-5
32035,-5,3.5,1.5208,2,2,1,1,4,2,8,199507,-5,3.0,16.0,3,0,4.0,4.0,3.7,-5
32036,-5,3.0,-0.7288,-8,-8,-8,-8,-8,2,8,199505,-5,2.0,0.0,3,-9,2.5,2.0,2.4,-5
32037,-5,1.5,-0.2885,4,13,0,0,2,1,8,199409,-5,0.0,0.0,-6,0,1.0,-1.0,-6.0,-5
32038,-5,2.5,-0.6187,1,1,1,1,1,2,3,199505,-5,10.5,0.0,-8,0,2.5,2.5,-8.0,-5
32039,-5,4.0,1.0966,2,3,0,0,4,1,8,199408,-5,3.0,0.0,3,-8,3.5,3.5,3.6,-5
32040,-5,3.5,0.2743,5,13,0,0,3,2,8,199505,-5,13.0,6.0,3,0,3.5,4.0,3.4,-5
32041,-5,1.5,-0.5424,-8,-8,-8,-8,-8,1,8,199407,-5,0.0,0.0,-6,0,0.5,-1.0,-6.0,-5
32042,-5,3.5,1.3027,5,8,0,0,4,2,2,199504,-5,3.5,6.0,2,0,3.0,3.5,2.2,-5
32043,-5,2.5,0.7304,2,4,0,0,2,1,5,199409,-5,4.5,0.0,-6,1,2.5,2.0,-6.0,-5
32044,-5,2.5,-1.0927,3,4,0,0,4,2,3,199508,-5,0.0,0.5,3,-8,1.5,1.0,1.4,-5
32045,-5,3.5,-0.1802,5,7,0,0,4,2,3,199502,-5,8.0,3.0,3,1,3.0,3.5,1.5,-5
32046,-5,-8.0,-1.2184,2,2,0,0,2,1,8,199404,-5,-8.0,-8.0,3,0,-8.0,-8.0,0.8,-5
